季节;朝代;年;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;公历年次数;原姓名;民族;旗分;爵位;科举
冬;光绪;十四;1888;4;副都统;盛京副都统;副都统;镇守盛京等处副都统;从二;;济禄;11;;满洲;正白;;
夏;光绪;十五;1889;2;副都统;盛京副都统;副都统;镇守盛京等处副都统;从二;;济禄;11;;满洲;正白;;
春;光绪;十六;1890;1;副都统;盛京副都统;副都统;镇守盛京等处副都统;从二;;济禄;11;;满洲;正白;;
春;光绪;十八;1892;1;副都统;盛京副都统;副都统;镇守盛京等处副都统;从二;;济禄;11;;满洲;正白;;
冬;光绪;十九;1893;4;副都统;盛京副都统;副都统;镇守盛京等处副都统;从二;;济禄;11;;满洲;正白;;
夏;光绪;二十;1894;2;副都统;盛京副都统;副都统;镇守盛京等处副都统;从二;;济禄;11;;满洲;正白;;
春;光绪;二十一;1895;1;副都统;盛京副都统;副都统;镇守盛京等处副都统;从二;;济禄;11;;满洲;正白;;
夏;光绪;二十二;1896;2;副都统;盛京副都统;副都统;镇守盛京等处副都统;从二;;济禄;11;;满洲;正白;;
秋;同治;六;1867;3;副都统;阿勒楚喀副都统;副都统;镇守阿尔楚喀地方副都统;从二;;海瑛;2;;满洲;镶黄;;
春;同治;九;1870;1;副都统;阿勒楚喀副都统;副都统;镇守阿尔楚喀地方副都统;从二;;海瑛;2;;蒙古;正红;;
春;同治;八;1869;1;副都统;阿勒楚喀副都统;副都统;镇守阿尔楚喀地方副都统;从二;觉罗;海英;4;;满洲;镶红;;生员
春;同治;十;1871;1;副都统;阿勒楚喀副都统;副都统;镇守阿勒楚喀地方副都统;从二;;海英;4;;蒙古;正红;;
夏;同治;十一;1872;2;副都统;阿勒楚喀副都统;副都统;镇守阿勒楚喀地方副都统;从二;;海英;4;;蒙古;正红;;
冬;同治;十二;1873;4;副都统;阿勒楚喀副都统;副都统;镇守阿勒楚喀地方副都统;从二;;海英;4;;蒙古;正红;;
夏;道光;四;1824;2;盛京刑部;盛京刑部侍郎;侍郎;刑部侍郎;正二;;海龄;1;;满洲;正蓝;;监生
