朝代;年;月;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;又名;民族;旗分;旗分（或）;爵位;科举;科举（其他）
光绪;二十五;二;1899;1;奉天府;兼管奉天府府尹;;兼管奉天府府尹;正三;;文兴;;蒙古;正蓝;;;监生;
乾隆;三十四;二;1769;1;奉天府;奉天府府尹;府尹;府尹;正三;宗室;博卿额;;满洲;镶红;;;进士;
乾隆;五十四;十二;1789;4;奉天府;奉天府府尹;府尹;府尹;正三;;陈用敷;;汉;;;;进士;
乾隆;五十七;十;1792;3;奉天府;奉天府府尹;府尹;府尹;正三;;福保;;满洲;正白;;;进士;
嘉庆;四;七;1799;2;奉天府;奉天府府尹;府尹;府尹;正三;;王秉韬;;汉军;镶红;;;举人;
嘉庆;十七;十二;1812;4;奉天府;奉天府府尹;府尹;府尹;正三;;华连布;花连布;满洲;正红;;;监生;
嘉庆;二十;十二;1815;4;奉天府;奉天府府尹;府尹;府尹;正三;觉罗;海龄;;满洲;正蓝;;;进士;
道光;十九;八;1839;3;奉天府;奉天府府尹;府尹;府尹;正三;;呈麟;;满洲;正蓝;;;进士;
咸丰;二;十;1852;3;奉天府;奉天府府尹;府尹;府尹;正三;;福济;;满洲;镶白;;;进士;
咸丰;三;三;1853;1;奉天府;奉天府府尹;府尹;府尹;正三;觉罗;崇恩;;满洲;正红;;;廪生;
咸丰;三;五;1853;2;奉天府;奉天府府尹;府尹;府尹;正三;;文蔚;;满洲;正蓝;;;进士;
咸丰;五;二;1855;1;奉天府;奉天府府尹;府尹;府尹;正三;;景霖;;满洲;正白;;;进士;
咸丰;七;十;1857;3;奉天府;奉天府府尹;府尹;府尹;正三;宗室;和润;;满洲;镶蓝;;;进士;
咸丰;八;二;1858;1;奉天府;奉天府府尹;府尹;府尹;正三;;景霖;;满洲;正白;;;进士;
光绪;五;十一;1879;4;奉天府;奉天府府尹;府尹;府尹;正三;;松林;;满洲;镶蓝;;;监生;
