季节;朝代;年;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;民族;旗分;爵位;科举
春;光绪;二十一;1895;1;副都统;锦州副都统;副都统;镇守锦州等处地方副都统兼管庄粮捕牲驿站大凌河牧群总管事务;从二;宗室;崇善;满洲;镶红;;
春;光绪;二十一;1895;1;副都统;伯都讷副都统;副都统;镇守伯都讷地方副都统;从二;;柏英;满洲;正黄;;
春;光绪;二十一;1895;1;副都统;三姓副都统;副都统;镇守三姓地方副都统;从二;;福魁;汉军;镶黄;;
夏;光绪;二十二;1896;2;副都统;盛京副都统;副都统;镇守盛京等处副都统;从二;;济禄;满洲;正白;;
夏;光绪;二十二;1896;2;副都统;金州副都统;副都统;镇守金州等处副都统;从二;;寿长;满洲;正白;;
夏;光绪;二十二;1896;2;副都统;兴京副都统;副都统;镇守兴京等处副都统;从二;宗室;奕澍;满洲;正红;;
夏;光绪;二十二;1896;2;副都统;锦州副都统;副都统;镇守锦州等处地方副都统兼管庄粮捕牲驿站大凌河牧群总管事务;从二;宗室;崇善;满洲;镶红;;
夏;光绪;二十二;1896;2;副都统;伯都讷副都统;副都统;镇守伯都讷地方副都统;从二;;柏英;满洲;正黄;;
夏;光绪;二十二;1896;2;副都统;珲春副都统;副都统;镇守珲春地方副都统;从二;;恩祥;满洲;正蓝;;
夏;光绪;二十三;1897;2;副都统;金州副都统;副都统;镇守金州等处副都统;从二;;寿长;满洲;正白;;
夏;光绪;二十三;1897;2;副都统;兴京副都统;副都统;镇守兴京等处副都统;从二;宗室;奕澍;满洲;正红;;
夏;光绪;二十三;1897;2;副都统;锦州副都统;副都统;镇守锦州等处地方副都统兼管庄粮捕牲驿站大凌河牧群总管事务;从二;宗室;崇善;满洲;镶红;;
夏;光绪;二十三;1897;2;副都统;伯都讷副都统;副都统;镇守伯都讷地方副都统;从二;;柏英;满洲;正黄;;
秋;光绪;二十四;1898;3;副都统;锦州副都统;副都统;镇守锦州等处地方副都统兼管庄粮捕牲驿站大凌河牧群总管事务;从二;宗室;崇善;满洲;镶红;;
秋;光绪;二十四;1898;3;副都统;伯都讷副都统;副都统;镇守伯都讷地方副都统;从二;;柏英;满洲;正黄;;
